Team;String;SCD;Concatenation;Outcome;Game
Miami;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Screen;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Screen;Stg.Scr;Cont outra SCD;S1
Miami;Continuation;Screen;Conc. Indep.;2pts_made;S1
Indiana;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Indiana;Continuation;Pick;Sem Conc.;Cont outra SCD;S1
Indiana;Continuation;Spotup;Conc. Indep.;3pts_miss;S1
Indiana;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Indiana;Continuation;Screen;Stg.Scr;Cont outra SCD;S1
Indiana;Continuation;Spotup;Conc. Indep.;Cont outra SCD;S1
Indiana;Continuation;Spotup;Conc. Indep.;Cont outra SCD;S1
Indiana;Continuation;Post;Conc. Indep.;Cont outra SCD;S1
Indiana;Continuation;Dime in;Conc. Indep.;Cont outra SCD;S1
Indiana;Continuation;Dime in;Conc. Indep.;2points_foul;S1
Miami;Continuation;1on1;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Pick;Conc. Indep.;2pts_miss;S1
Indiana;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Indiana;Continuation;Screen;Stg.Scr;TO;S1
Indiana;First Action;Pick;Sem Conc.;2pts_made;S1
Miami;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Pick;Conc. Indep.;2pts_made;S1
Indiana;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Indiana;Continuation;1on1;Conc. Indep.;3pts_miss;S1
Indiana;First Action;Post;Sem Conc.;TO;S1
Indiana;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Indiana;Continuation;Pick;Conc. Indep.;2pts_made;S1
Miami;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Pick;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Pick;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;3pts_miss;S1
Indiana;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Indiana;Continuation;1on1;Conc. Indep.;2pts_miss;S1
Indiana;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Indiana;Continuation;Pick;Conc. Indep.;Cont outra SCD;S1
Indiana;Continuation;Screen;Conc. Indep.;Cont outra SCD;S1
Indiana;Continuation;Pick;Conc. Indep.;TO;S1
Miami;First Action;Post;Sem Conc.;TO;S1
Indiana;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Indiana;Continuation;Post;Conc. Indep.;2pts_made;S1
Miami;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Pick;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;3pts_miss;S1
Indiana;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Indiana;Continuation;Post;Conc. Indep.;2pts_made;S1
Miami;First Action;Pick;Sem Conc.;3pts_miss;S1
Indiana;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Indiana;Continuation;Screen;Stg.Scr;Cont outra SCD;S1
Indiana;Continuation;Post;Conc. Indep.;2pts_made;S1
Miami;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Screen;Scr_Pker;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;1on1;Conc. Indep.;2pts_miss;S1
Miami;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Screen;Scr_Scrner;Cont outra SCD;S1
Miami;Continuation;Screen;Stg.Scr;Cont outra SCD;S1
Miami;Continuation;Screen;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Screen;Seq.Scr.Mk;3pts_miss;S1
Indiana;First Action;Pick;Sem Conc.;2pts_miss;S1
Indiana;First Action;Pick;Sem Conc.;2pts_miss;S1
Miami;First Action;Cut;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;2pts_made;S1
Indiana;First Action;1on1;Sem Conc.;2pts_made;S1
Miami;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Pick;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Pick;Conc. Indep.;TO;S1
Miami;First Action;Screen;Sem Conc.;2pts_miss;S1
Indiana;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Indiana;Continuation;Post;Conc. Indep.;TO;S1
Miami;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Post;Conc. Indep.;2pts_made;S1
Indiana;First Action;Pick;Sem Conc.;2points_foul;S1
Miami;Continuation;Spotup;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;3ptos_made;S1
Indiana;First Action;Pick;Sem Conc.;Foul;S1
Indiana;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Indiana;Continuation;Pick;Conc. Indep.;TO;S1
Miami;First Action;Pick;Sem Conc.;2pts_made;S1
Indiana;Continuation;None;Sem Conc.;Foul;S1
Indiana;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Indiana;Continuation;Post;Conc. Indep.;2pts_miss;S1
Miami;Continuation;Post;Conc. Indep.;2pts_made;S1
Indiana;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Indiana;Continuation;Spotup;Conc. Indep.;2pts_miss;S1
Miami;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Pick;Stg.Pk;2pts_made;S1
Indiana;First Action;Pick;Sem Conc.;2pts_made;S1
Miami;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Screen;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Screen;Stg.Scr;Cont outra SCD;S1
Miami;Continuation;Pick;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Cut;Conc. Indep.;2pts_made;S1
Indiana;First Action;Cut;Sem Conc.;TO;S1
Miami;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;TO;S1
Indiana;First Action;None;Sem Conc.;2pts_made;S1
Indiana;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Indiana;Continuation;Pick;Pk_Scr.Rc;2pts_made;S1
Miami;First Action;Screen;Sem Conc.;Cont outra SCD;S1
