Team;String;SCD;Concatenation;Outcome;Game
Spurs;First Action;Screen;Sem Conc.;TO;S1
Spurs;First Action;1on1;Sem Conc.;Finalization correct;S1
Miami;First Action;Spotup;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Finalization correct;S1
Spurs;First Action;Screen;Sem Conc.;Finalization foul;S1
Miami;First Action;Spotup;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Finalization correct;S1
Spurs;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Screen;Conc. Indep.;Cont outra SCD;S1
Spurs;Continuation;Screen;Stg.Scr;Cont outra SCD;S1
Spurs;Continuation;Screen;Stg.Scr;Cont outra SCD;S1
Spurs;Continuation;Screen;Scr_Scrner;Cont outra SCD;S1
Spurs;Continuation;Pick;Conc. Indep.;TO;S1
Spurs;First Action;Cut;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Post;Conc. Indep.;TO;S1
Spurs;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Screen;Scr_Scrner;Cont outra SCD;S1
Spurs;Continuation;Screen;Conc. Indep.;Cont outra SCD;S1
Spurs;Continuation;Hdoff;Hdof_Scr.Rc;Cont outra SCD;S1
Spurs;Continuation;1on1;Conc. Indep.;Finalization wrong;S1
Spurs;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Screen;Conc. Indep.;Cont outra SCD;S1
Spurs;Continuation;1on1;Conc. Indep.;Foul;S1
Spurs;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Post;Conc. Indep.;Cont outra SCD;S1
Spurs;Continuation;Spotup;Conc. Indep.;Finalization wrong;S1
Miami;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Screen;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Screen;Stg.Scr;Cont outra SCD;S1
Miami;Continuation;Pick;Scr.E.Pk;Cont outra SCD;S1
Miami;Continuation;Pick;Conc. Indep.;Finalization correct;S1
Spurs;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Spotup;Conc. Indep.;TO;S1
Miami;First Action;Post;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;TO;S1
Miami;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Screen;Stg.Scr;Cont outra SCD;S1
Miami;Continuation;Pick;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;1on1;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Finalization correct;S1
Spurs;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Pick;Rc.Scr.E.Pk;Cont outra SCD;S1
Spurs;Continuation;Spotup;Conc. Indep.;Finalization correct;S1
Miami;First Action;Spotup;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Dime in;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Cut;Conc. Indep.;TO;S1
Spurs;Continuation;Spotup;Conc. Indep.;Finalization wrong;S1
Miami;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Finalization wrong;S1
Spurs;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Cut;Conc. Indep.;Cont outra SCD;S1
Spurs;Continuation;Spotup;Conc. Indep.;Finalization correct;S1
Miami;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Screen;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Finalization wrong;S1
Miami;Continuation;Spotup;Conc. Indep.;Finalization correct;S1
Miami;Continuation;Spotup;Conc. Indep.;Cont outra SCD;S1
Spurs;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Screen;Conc. Indep.;Cont outra SCD;S1
Spurs;Continuation;Screen;Re-Screen;TO;S1
Spurs;First Action;Screen;Sem Conc.;Finalization wrong;S1
Spurs;First Action;1on1;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;1on1;Conc. Indep.;Finalization wrong;S1
Miami;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Finalization correct;S1
Spurs;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Screen;Scr_Scrner;Cont outra SCD;S1
Spurs;Continuation;Cut;Conc. Indep.;Finalization correct;S1
Miami;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Screen;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Pick;Scr.E.Pk;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Pick;Conc. Indep.;Finalization foul;S1
Spurs;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Pick;Scr.E.Pk;Cont outra SCD;S1
Spurs;Continuation;Screen;Conc. Indep.;Cont outra SCD;S1
Spurs;Continuation;Screen;Stg.Scr;Cont outra SCD;S1
Spurs;Continuation;Spotup;Conc. Indep.;Finalization correct;S1
Miami;First Action;None;Sem Conc.;TO;S1
Miami;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Finalization correct;S1
Spurs;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Screen;Conc. Indep.;Cont outra SCD;S1
Spurs;Continuation;Screen;Stg.Scr;Cont outra SCD;S1
Spurs;Continuation;Screen;Stg.Scr;Cont outra SCD;S1
Spurs;Continuation;Spotup;Conc. Indep.;Cont outra SCD;S1
Spurs;Continuation;Spotup;Conc. Indep.;Finalization correct;S1
Miami;First Action;Spotup;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Finalization wrong;S1
Spurs;Continuation;Spotup;Conc. Indep.;TO;S1
Miami;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;TO;S1
Miami;First Action;Pick;Sem Conc.;Finalization wrong;S1
Miami;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Finalization correct;S1
Spurs;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Screen;Scr_Scrner;Cont outra SCD;S1
Spurs;Continuation;Post;Conc. Indep.;Cont outra SCD;S1
Spurs;Continuation;Spotup;Conc. Indep.;Finalization wrong;S1
Miami;Continuation;Pick;Conc. Indep.;Foul;S1
Miami;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Finalization wrong;S1
Miami;Continuation;1on1;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Finalization correct;S1
Spurs;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Screen;Stg.Scr;Cont outra SCD;S1
Spurs;Continuation;Screen;Stg.Scr;Finalization correct;S1
Miami;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Pick;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Pick;Re-Pk;Finalization wrong;S1
Spurs;First Action;Hdoff;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Spotup;Conc. Indep.;Finalization correct;S1
Miami;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Pick;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;TO;S1
Spurs;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Pick;Pk_Scr.Rc;Cont outra SCD;S1
Spurs;Continuation;Spotup;Conc. Indep.;Cont outra SCD;S1
Spurs;Continuation;Pick;Conc. Indep.;Foul;S1
Spurs;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;1on1;Conc. Indep.;Finalization wrong;S1
Miami;First Action;1on1;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Spotup;Conc. Indep.;Finalization wrong;S1
Spurs;First Action;Post;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Spotup;Conc. Indep.;Cont outra SCD;S1
Spurs;Continuation;Spotup;Conc. Indep.;Finalization correct;S1
Miami;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Miami;Continuation;Screen;Conc. Indep.;Cont outra SCD;S1
Miami;Continuation;Screen;Scr_Scrner;Cont outra SCD;S1
Miami;Continuation;Pick;Scr.E.Pk_SamePl;Finalization wrong;S1
Spurs;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Screen;Stg.Scr;Cont outra SCD;S1
Spurs;Continuation;Pick;Conc. Indep.;Cont outra SCD;S1
Spurs;Continuation;Spotup;Conc. Indep.;Finalization wrong;S1
