Team;String;SCD;Concatenation;Outcome;Game
Spurs;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Screen;Conc. Indep.;Cont outra SCD;S1
Spurs;Continuation;Dime in;Conc. Indep.;2pts_miss;S1
OKC;First Action;Screen;Sem Conc.;Cont outra SCD;S1
OKC;Continuation;1on1;Conc. Indep.;2pts_made;S1
Spurs;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Screen;Conc. Indep.;Cont outra SCD;S1
Spurs;Continuation;Pick;Conc. Indep.;Cont outra SCD;S1
Spurs;Continuation;Post;Conc. Indep.;2pts_miss;S1
OKC;First Action;Screen;Sem Conc.;Cont outra SCD;S1
OKC;Continuation;Screen;Scr_Scrner;Cont outra SCD;S1
OKC;First Action;Post;Conc. Indep.;Cont outra SCD;S1
OKC;Continuation;Spotup;Conc. Indep.;3pts_miss;S1
Spurs;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;1on1;Conc. Indep.;2pts_miss;S1
Spurs;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Screen;Stg.Scr;2pts_miss;S1
Spurs;First Action;1on1;Sem Conc.;2pts_made;S1
OKC;First Action;Screen;Sem Conc.;2pts_miss;S1
OKC;First Action;Pick;Sem Conc.;2pts_made;S1
Spurs;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Pick;Rc.Scr.E.Pk;Cont outra SCD;S1
Spurs;Continuation;Pick;Conc. Indep.;Cont outra SCD;S1
Spurs;Continuation;Screen;Conc. Indep.;2pts_miss;S1
OKC;First Action;Pick;Sem Conc.;2pts_made;S1
Spurs;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;1on1;Conc. Indep.;Foul;S1
OKC;First Action;Screen;Sem Conc.;Cont outra SCD;S1
OKC;Continuation;Pick;Conc. Indep.;2pts_made;S1
Spurs;First Action;Screen;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Screen;Stg.Scr;Cont outra SCD;S1
Spurs;Continuation;Screen;Conc. Indep.;3pts_miss;S1
Spurs;First Action;Pick;Sem Conc.;Cont outra SCD;S1
Spurs;Continuation;Screen;Conc. Indep.;3pts_miss;S1
OKC;First Action;Hdoff;Sem Conc.;3pts_miss;S1
