"","strFrom","strTo","freq"
"1","1on1","1on1",8
"2","1on1","Cut",6
"3","1on1","Dime in",23
"4","1on1","field_goal",130
"5","1on1","foul",43
"6","1on1","Hdoff",2
"7","1on1","None",0
"8","1on1","Pick",7
"9","1on1","Post",6
"10","1on1","Scr.E.Pk",1
"11","1on1","Screen",1
"12","1on1","Spotup",45
"13","1on1","Stg.Scr",0
"14","1on1","turnover",13
"15","Cut","1on1",13
"16","Cut","Cut",5
"17","Cut","Dime in",0
"18","Cut","field_goal",38
"19","Cut","foul",10
"20","Cut","Hdoff",10
"21","Cut","None",0
"22","Cut","Pick",11
"23","Cut","Post",4
"24","Cut","Screen",16
"25","Cut","Seq.Scr.Mk",1
"26","Cut","Spotup",8
"27","Cut","turnover",16
"28","Dime in","1on1",1
"29","Dime in","Cut",1
"30","Dime in","Dime in",3
"31","Dime in","field_goal",50
"32","Dime in","foul",15
"33","Dime in","Pick",2
"34","Dime in","Spotup",6
"35","Dime in","turnover",14
"36","Hdff_E_Re-Pick","turnover",1
"37","Hdof F Post","field_goal",1
"38","Hdof F Post","turnover",0
"39","Hdof_Scr.Rc","1on1",4
"40","Hdof_Scr.Rc","Cut",1
"41","Hdof_Scr.Rc","Dime in",0
"42","Hdof_Scr.Rc","field_goal",9
"43","Hdof_Scr.Rc","foul",2
"44","Hdof_Scr.Rc","Hdof.E.Scr",2
"45","Hdof_Scr.Rc","Hdoff",3
"46","Hdof_Scr.Rc","Hdoff.E.Re-Pick",1
"47","Hdof_Scr.Rc","Pick",3
"48","Hdof_Scr.Rc","Pk_Hdof.Rc",6
"49","Hdof_Scr.Rc","Pk_Scr.Rc",0
"50","Hdof_Scr.Rc","Post",0
"51","Hdof_Scr.Rc","Rc.Hdof.E.Mk.One",1
"52","Hdof_Scr.Rc","Re-Pick",1
"53","Hdof_Scr.Rc","Screen",4
"54","Hdof_Scr.Rc","Spotup",13
"55","Hdof_Scr.Rc","turnover",1
"56","Hdof_Scrner","1on1",0
"57","Hdof_Scrner","Dime in",0
"58","Hdof_Scrner","field_goal",0
"59","Hdof_Scrner","foul",0
"60","Hdof_Scrner","Pick",0
"61","Hdof_Scrner","Pk_Hdof.Rc",1
"62","Hdof_Scrner","Screen",0
"63","Hdof_Scrner","turnover",0
"64","Hdof.E.Scr","1on1",1
"65","Hdof.E.Scr","Post",1
"66","Hdof.E.Scr","Scr.E.Pk_SamePl",1
"67","Hdof.E.Scr","Spotup",0
"68","Hdof/Post","1on1",1
"69","Hdof/Post","Dime in",2
"70","Hdof/Post","field_goal",3
"71","Hdof/Post","foul",1
"72","Hdof/Post","Pick",0
"73","Hdof/Post","Post",0
"74","Hdof/Post","Spotup",2
"75","Hdoff","1on1",11
"76","Hdoff","Cut",8
"77","Hdoff","Dime in",1
"78","Hdoff","field_goal",55
"79","Hdoff","foul",9
"80","Hdoff","Hdff_E_Re-Pick",1
"81","Hdoff","Hdof_Scr.Rc",0
"82","Hdoff","Hdof.E.Scr",1
"83","Hdoff","Hdoff",4
"84","Hdoff","Hdoff.E.Re-Pick",10
"85","Hdoff","Pick",23
"86","Hdoff","Pk_Hdof.Rc",11
"87","Hdoff","Post",10
"88","Hdoff","Rc.Hdof.E.Mk.One",2
"89","Hdoff","Rc.Scr.E.MkOne",0
"90","Hdoff","Re-Pick",0
"91","Hdoff","Scr_Hdof.Mk",8
"92","Hdoff","Scr.E.Pk",0
"93","Hdoff","Screen",19
"94","Hdoff","Spotup",19
"95","Hdoff","Stg.Pk",1
"96","Hdoff","turnover",4
"97","Hdoff.E.Re-Pick","1on1",2
"98","Hdoff.E.Re-Pick","Cut",1
"99","Hdoff.E.Re-Pick","field_goal",5
"100","Hdoff.E.Re-Pick","foul",1
"101","Hdoff.E.Re-Pick","Pick",0
"102","Hdoff.E.Re-Pick","Post",1
"103","Hdoff.E.Re-Pick","Rc.Pk.E.Mk.Hdof",1
"104","Hdoff.E.Re-Pick","Re-Pick",0
"105","Hdoff.E.Re-Pick","turnover",1
"106","None","field_goal",2
"107","None","foul",13
"108","None","turnover",11
"109","Pick","1on1",59
"110","Pick","Cut",21
"111","Pick","Dime in",17
"112","Pick","field_goal",174
"113","Pick","foul",53
"114","Pick","Hdoff",11
"115","Pick","None",0
"116","Pick","Pick",92
"117","Pick","Pk.E.Scr",3
"118","Pick","Post",51
"119","Pick","Rc.Pk.E.Mk.Hdof",5
"120","Pick","Re-Pick",29
"121","Pick","Scr_Pker",6
"122","Pick","Scr.E.Pk",2
"123","Pick","Screen",24
"124","Pick","Spotup",177
"125","Pick","Stg.Pk",25
"126","Pick","Stg.Scr",0
