"","1on1","Cut","Dime in","field_goal","foul","Hdff_E_Re-Pick","Hdof F Post","Hdof_Scr.Rc","Hdof_Scrner","Hdof.E.Scr","Hdof/Post","Hdoff","Hdoff.E.Re-Pick","None","Pick","Pick_Screener","Pk_Hdof.Rc","Pk_Scr.Rc","Pk.E.Scr","Post","Rc.Hdof.E.Mk.One","Rc.Pk.E.Mk.Hdof","Rc.Scr.E.Mk.Hdof","Rc.Scr.E.MkOne","Rc.Scr.E.Pk","Re-Pick","Re-Screen","Scr_Hdof.Mk","Scr_Pker","Scr_Scrner","Scr.E.Hdof","Scr.E.Pk","Scr.E.Pk_SamePl","Screen","Seq.Scr.Mk","Spotup","Stg.Pk","Stg.Scr","turnover"
"1on1",5,2,3,105,18,0,0,0,0,0,0,1,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,23,0,1,13
"Cut",5,0,1,24,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,6
"Dime in",0,0,0,6,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7
"Hdff_E_Re-Pick",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hdof F Post",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hdof_Scr.Rc",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hdof_Scrner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hdof.E.Scr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hdof/Post",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Hdoff",2,0,0,5,0,0,0,0,0,0,0,0,4,0,13,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,1
"Hdoff.E.Re-Pick",0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"None",0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"Pick",46,21,8,129,45,0,0,0,0,0,0,5,0,0,84,0,0,0,3,13,0,2,0,0,0,23,0,0,15,0,0,0,0,17,0,88,21,2,30
"Pick_Screener",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pk_Hdof.Rc",0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
"Pk_Scr.Rc",1,0,0,5,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
"Pk.E.Scr",1,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Post",0,2,2,37,8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,0,8
