"","1on1","Cut","Dime in","field_goal","foul","Hdff_E_Re-Pick","Hdof F Post","Hdof_Scr.Rc","Hdof_Scrner","Hdof.E.Scr","Hdof/Post","Hdoff","Hdoff.E.Re-Pick","None","Pick","Pick_Screener","Pk_Hdof.Rc","Pk_Scr.Rc","Pk.E.Scr","Post","Rc.Hdof.E.Mk.One","Rc.Pk.E.Mk.Hdof","Rc.Scr.E.Mk.Hdof","Rc.Scr.E.MkOne","Rc.Scr.E.Pk","Re-Pick","Re-Screen","Scr_Hdof.Mk","Scr_Pker","Scr_Scrner","Scr.E.Hdof","Scr.E.Pk","Scr.E.Pk_SamePl","Screen","Seq.Scr.Mk","Spotup","Stg.Pk","Stg.Scr","turnover"
"1on1",8,6,23,130,43,0,0,0,0,0,0,2,0,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,45,0,0,13
"Cut",13,5,0,38,10,0,0,0,0,0,0,10,0,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,8,0,0,16
"Dime in",1,1,3,50,15,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,14
"Hdff_E_Re-Pick",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Hdof F Post",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hdof_Scr.Rc",4,1,0,9,2,0,0,0,0,2,0,3,1,0,3,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,13,0,0,1
"Hdof_Scrner",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hdof.E.Scr",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Hdof/Post",1,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"Hdoff",11,8,1,55,9,1,0,0,0,1,0,4,10,0,23,0,11,0,0,10,2,0,0,0,0,0,0,8,0,0,0,0,0,19,0,19,1,0,4
"Hdoff.E.Re-Pick",2,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"None",0,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"Pick",59,21,17,174,53,0,0,0,0,0,0,11,0,0,92,0,0,0,3,51,0,5,0,0,0,29,0,0,6,0,0,2,0,24,0,177,25,0,51
"Pick_Screener",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pk_Hdof.Rc",5,0,0,0,1,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,2,0,3,1,0,0
"Pk_Scr.Rc",2,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1
"Pk.E.Scr",0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Post",4,16,11,108,43,0,1,0,0,0,8,2,0,0,8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,37,0,0,29
"Rc.Hdof.E.Mk.One",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"Rc.Pk.E.Mk.Hdof",0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rc.Scr.E.Mk.Hdof",0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rc.Scr.E.MkOne",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0
"Rc.Scr.E.Pk",2,0,0,10,3,0,0,0,0,0,0,1,0,0,9,0,0,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,10,7,0,0
"Re-Pick",1,1,1,7,2,0,0,0,0,0,0,3,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,1,0,1
"Re-Screen",0,0,0,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2
"Scr_Hdof.Mk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0
"Scr_Pker",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0
"Scr_Scrner",2,7,1,10,6,0,0,0,0,0,0,4,0,1,10,0,0,0,0,15,0,0,0,0,3,0,0,0,0,1,0,1,4,7,0,7,0,1,4
"Scr.E.Hdof",0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"Scr.E.Pk",4,3,2,19,3,0,0,1,0,0,0,1,0,0,6,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,1,10,0,19,8,1,3
"Scr.E.Pk_SamePl",3,1,1,5,1,0,0,0,0,0,0,1,0,1,5,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,12,2,0,1
"Screen",45,10,3,71,15,0,0,45,0,0,0,46,0,3,117,0,1,14,0,32,0,0,3,9,41,0,13,0,0,51,4,70,19,180,39,15,2,206,16
"Seq.Scr.Mk",3,0,0,4,0,0,0,1,1,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,2,0,0,0,0,1,0,1,4,4,4,2,1,15,1
"Spotup",5,3,19,322,22,0,0,0,0,0,0,0,0,0,16,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,99,0,0,37
"Stg.Pk",5,3,2,10,3,0,0,0,0,0,0,0,0,0,5,0,0,1,2,3,1,0,0,0,0,5,0,1,1,0,0,1,0,1,0,2,0,0,2
"Stg.Scr",14,4,2,23,12,0,0,2,0,0,0,24,0,0,36,0,0,0,0,23,0,0,0,0,1,0,0,0,1,25,1,7,8,30,4,13,0,21,11
