"","SCD","points","freq","ppp"
"1","1on1",48,142,0.338028169014085
"2","Cut",12,21,0.571428571428571
"3","Dime in",8,28,0.285714285714286
"5","Hdof_Scr.Rc",2,2,1
"7","Hdoff",2,25,0.08
"9","None",2,9,0.222222222222222
"10","Pick",96,248,0.387096774193548
"12","Pk_Scr.Rc",2,2,1
"13","Pk.E.Scr",2,5,0.4
"14","Post",4,34,0.117647058823529
"16","Rc.Scr.E.MkOne",2,1,2
"17","Rc.Scr.E.Pk",2,9,0.222222222222222
"18","Re-Pick",15,27,0.555555555555556
"20","Scr_Scrner",3,10,0.3
"22","Scr.E.Pk_SamePl",3,2,1.5
"23","Screen",25,79,0.316455696202532
"25","Spotup",87,162,0.537037037037037
"26","Stg.Pk",3,3,1
"27","Stg.Scr",3,11,0.272727272727273
