"","SCD","points","freq","ppp"
"1","1on1",35,42,0.833333333333333
"2","Cut",12,12,1
"3","Dime in",4,14,0.285714285714286
"5","Hdof_Scr.Rc",2,1,2
"6","Hdoff",2,12,0.166666666666667
"8","None",2,4,0.5
"9","Pick",84,101,0.831683168316832
"10","Pk_Scr.Rc",2,1,2
"11","Pk.E.Scr",2,4,0.5
"12","Post",2,13,0.153846153846154
"13","Rc.Scr.E.MkOne",2,1,2
"14","Rc.Scr.E.Pk",2,4,0.5
"15","Re-Pick",15,16,0.9375
"18","Scr.E.Pk_SamePl",3,1,3
"19","Screen",15,29,0.517241379310345
"20","Spotup",63,58,1.08620689655172
"21","Stg.Pk",3,1,3
"22","Stg.Scr",3,3,1
