"","SCD","points","freq","ppp"
"1","1on1",48,186,0.258064516129032
"2","Cut",10,64,0.15625
"3","Dime in",8,79,0.10126582278481
"6","Hdof_Scr.Rc",2,12,0.166666666666667
"7","Hdof/Post",2,4,0.5
"8","Hdoff",17,68,0.25
"9","Hdoff.E.Re-Pick",4,7,0.571428571428571
"11","Pick",48,276,0.173913043478261
"14","Pk.E.Scr",2,1,2
"15","Post",32,180,0.177777777777778
"19","Rc.Scr.E.Pk",4,14,0.285714285714286
"20","Re-Pick",4,11,0.363636363636364
"21","Re-Screen",2,7,0.285714285714286
"23","Scr_Scrner",2,21,0.0952380952380952
"25","Scr.E.Pk",13,25,0.52
"26","Scr.E.Pk_SamePl",3,7,0.428571428571429
"27","Screen",18,101,0.178217821782178
"28","Seq.Scr.Mk",2,5,0.4
"29","Spotup",73,381,0.191601049868766
"30","Stg.Pk",3,15,0.2
"31","Stg.Scr",8,46,0.173913043478261
