"","SCD","points","freq","ppp"
"1","1on1",48,96,0.5
"2","Cut",10,32,0.3125
"3","Dime in",8,44,0.181818181818182
"6","Hdof_Scr.Rc",2,8,0.25
"7","Hdof/Post",2,4,0.5
"8","Hdoff",17,39,0.435897435897436
"9","Hdoff.E.Re-Pick",4,5,0.8
"11","Pick",48,168,0.285714285714286
"14","Pk.E.Scr",2,1,2
"15","Post",32,100,0.32
"18","Rc.Scr.E.Pk",4,9,0.444444444444444
"19","Re-Pick",4,9,0.444444444444444
"20","Re-Screen",2,4,0.5
"22","Scr_Scrner",2,15,0.133333333333333
"24","Scr.E.Pk",13,21,0.619047619047619
"25","Scr.E.Pk_SamePl",3,6,0.5
"26","Screen",18,60,0.3
"27","Seq.Scr.Mk",2,2,1
"28","Spotup",73,189,0.386243386243386
"29","Stg.Pk",3,9,0.333333333333333
"30","Stg.Scr",8,30,0.266666666666667
