"","SCD","points","freq","ppp"
"1","1on1",37,36,1.02777777777778
"2","Cut",6,11,0.545454545454545
"3","Dime in",8,23,0.347826086956522
"6","Hdof_Scr.Rc",2,1,2
"7","Hdof/Post",2,3,0.666666666666667
"8","Hdoff",9,8,1.125
"9","Hdoff.E.Re-Pick",2,2,1
"11","Pick",30,52,0.576923076923077
"12","Pk.E.Scr",2,1,2
"13","Post",24,37,0.648648648648649
"15","Rc.Scr.E.Pk",2,4,0.5
"16","Re-Pick",2,4,0.5
"17","Re-Screen",2,4,0.5
"18","Scr_Scrner",2,8,0.25
"20","Scr.E.Pk",6,8,0.75
"21","Scr.E.Pk_SamePl",3,4,0.75
"22","Screen",15,29,0.517241379310345
"24","Spotup",67,76,0.881578947368421
"25","Stg.Pk",3,3,1
"26","Stg.Scr",8,17,0.470588235294118
