"";"idPartida";"id";"jogador";"equipe";"tipo";"tempo";"quarto";"placar";"posX";"posY";"msg";"X"
"20";2247;35;78;3;"SBE";"10:00";1;"";NA;NA;"";NA
"NA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.10";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.11";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.12";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.14";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.15";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.16";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.17";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.18";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.19";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.20";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.21";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.22";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.24";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.25";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.26";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.27";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.28";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.29";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.30";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.31";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.32";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"NA.33";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
