id;local;data;quarto;tempo;status;modo;aovivo;campeonato;pontos1;pontos2;faltas1;faltas2;pontos1quarto1;pontos2quarto1;faltas1quarto1;faltas2quarto1;pontos1quarto2;pontos2quarto2;faltas1quarto2;faltas2quarto2;pontos1quarto3;pontos2quarto3;faltas1quarto3;faltas2quarto3;pontos1quarto4;pontos2quarto4;faltas1quarto4;faltas2quarto4
2247;Não informado;;1;;1;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
569;Centro Cívico;14/04/2016 19:00;4;00:00;2;;0;2015/2016 - LBF CAIXA;72;67;15;16;30;9;2;2;16;22;5;4;13;21;4;4;13;15;4;6;
572;Centro Cívico;17/04/2016 13:00;1;10:00;1;;0;2015 - LDB;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
573;Centro Cívico;19/04/2016 18:30;4;00:00;2;;0;2015/2016 - LBF CAIXA;66;83;17;19;12;26;5;4;15;17;2;3;16;23;5;7;23;17;5;5;
575;Ginásio Castelinho;26/04/2016 19:30;1;;0;;0;2015/2016 - NBB CAIXA;0;0;0;0;;;;;;;;;;;;;;;;;
577;Ginásio Castelinho;24/04/2016 14:30;1;;0;;0;2015/2016 - NBB CAIXA;0;0;0;0;;;;;;;;;;;;;;;;;
578;Ginásio Taquaral;07/05/2016 17:00;4;00:00;2;;0;2016 - Jogo Das Estrelas;78;79;11;16;23;25;2;4;22;27;4;4;21;8;1;2;12;19;4;6;
2209;Não informado;;2;01:41;1;;;;9;18;0;1;9;15;0;1;0;3;0;0;;;;;;;;;
2218;Não informado;;1;;1;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
2230;TESTES-EM-QUADRA;;1;00:00;1;;;;27;10;2;7;27;10;2;7;;;;;;;;;;;;;
2239;Não informado;;1;10:00;1;;;;80;62;14;20;12;12;1;1;23;9;1;3;17;22;2;3;28;19;10;13;
2240;Não informado;;4;00:00;1;;;;162;175;37;29;59;67;10;12;25;21;2;7;46;44;17;5;32;43;8;5;
2247;Não informado;;1;;1;;;;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
2327;TESTES-EM-QUADRA;;1;;0;;;;0;0;0;0;;;;;;;;;;;;;;;;;
2344;Não informado;;2;;1;;;;;;;;;;;;;;;;;;;;;;;;
2349;Não informado;;4;;1;;;;;;;;;;;;;;;;;;;;;;;;
2350;Não informado;;1;10:00;1;;;;74;25;10;10;74;25;10;10;0;0;0;0;0;0;0;0;0;0;0;0;
2351;Não informado;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;
