ARG X CHI;Game Time;Start Task;ESC;SDO;Progression Task;End Task;End Time;Advantage Situation;OPP Defensive Formation;;;;;
;;;;;;;;;;;;;;
FIRST PERIOD;;;;;;;;;;;;;;
21'40'';03'45'';RECOVERY;2L;PM;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;1L;F;PASS;;;;;;;;;
;;;2L;CM;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;3R;PD;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;SHOT ATTEMPT;GK KICK;04'11'';;;;;;;
;;;;;;;;;;;;;;
23'11'';05'16'';DISARM;2C;CM;PASS;;;;;;;;;
;;;3R;PD;RECEPTION;;;;;;;;;
;;;3R;PD;DRIVE;;;;;;;;;
;;;4R;CD;PASS;GK SAVE;05'25'';;;;;;;
;;;;;;;;;;;;;;
30'28'';12'32'';FALL;2L;CM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;4L;CD;RECEPTION;;;;;;;;;
;;;4L;CD;DRIVE;;;;;;;;;
;;;4L;PD;CROSS;BLOCK;12'51'';;;;;;;
;;;;;;;;;;;;;;
35'56'';18'00'';RECOVERY;2L;CM;PASS;;;;;;;;;
;;;2L;PM;RECEPTION;;;;;;;;;
;;;2L;PM;DRIVE;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;3R;PD;PASS;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4C;CD;RECEPTION;;;;;;;;;
;;;4C;CD;DRIVE;;;;;;;;;
;;;4R;CD;DRIVE;;;;;;;;;
;;;4R;PB;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;FALL;18'25'';;;;;;;
;;;;;;;;;;;;;;
37'46'';19'51'';FALL;4R;PD;CROSS;;;;;;;;;
;;;4C;CD;HEADING ATTEMPT;GK SAVE;19'52'';;;;;;;
;;;;;;;;;;;;;;
53'16'';35'21'';FALL;3C;F;CROSS;CORNER;35'29'';;;;;;;
;;;;;;;;;;;;;;
54'05'';36'10'';CORNER;4L;PD;CROSS;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4C;PM;SHOT ATTEMPT;BLOCK;36'14'';;;;;;;
;;;;;;;;;;;;;;
55'33'';37'38'';CORNER;4R;PD;CROSS;INCOMPLETE INTERCEPTION;37'39'';;;;;;;
;;;;;;;;;;;;;;
01'02'37'';44'42'';DISARM;2L;CD;DRIVE;;;;;;;;;
;;;2C;CD;DRIVE;;;;;;;;;
;;;3C;CD;DRIVE;DISARM;44'48'';;;;;;;
;;;;;;;;;;;;;;
01'03'48'';45'52'';INTERCEPTION;2C;F;PASS;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2R;PM;RECEPTION;;;;;;;;;
;;;2R;PM;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2L;PM;RECEPTION;;;;;;;;;
;;;2L;PM;DRIVE;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;4L;PB;RECEPTION;;;;;;;;;
;;;4L;PB;DRIVE;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
;;;4C;CM;SHOT ATTEMPT;GK SAVE;46'17'';;;;;;;
;;;;;;;;;;;;;;
SECOND PERIOD;;;;;;;;;;;;;;
17'24'';57'18'';CORNER;4L;PD;CROSS;;;;;;;;;
;;;4C;CD;HEADING ATTEMPT;GK KICK;57'21'';;;;;;;
;;;;;;;;;;;;;;
18'30'';58'24'';FREETHROW;4L;PM;PASS;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
;;;4L;PM;PASS;;;;;;;;;
;;;4L;CD;RECEPTION;;;;;;;;;
;;;4L;CD;PASS;;;;;;;;;
;;;4C;CD;RECEPTION;DISARM;58'31'';;;;;;;
;;;;;;;;;;;;;;
19'33'';59'26'';CORNER;4L;PD;CROSS;CORNER;59'32'';;;;;;;
;;;;;;;;;;;;;;
20'43'';60'36'';CORNER;4R;PD;CROSS;INTERCEPTION;60'38'';;;;;;;
;;;;;;;;;;;;;;
21'13'';61'07'';FALL;3C;F;PASS;;;;;;;;;
;;;3C;F;RECEPTION;;;;;;;;;
