ARG X COL;Game Time;Start Task;ESC;SDO;Progression Task;End Task;End Time;Advantage Situation;OPP Defensive Formation;;;;;
;;;;;;;;;00'00'' FORMATION 4-4-2;;;;;
FIRST PERIOD;;;;;;;;;;;;;;
17'52'';05'21'';INTERCEPTION;2L;CM;PASS;;;;;;;;;
;;;3L;CD;RECEPTION;;;;;;;;;
;;;3L;CD;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;CROSS;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;CORNER;05'32'';;;;;;;
;;;;;;;;;;;;;;
18'30'';05'59'';CORNER;4L;PD;CROSS;;;;;;;;;
;;;4C;CD;HEADING ATTEMPT;GK KICK;06'01'';;;;;;;
;;;;;;;;;;;;;;
22'00'';09'29'';RECOVERY;2R;CM;PASS;;;;;;;;;
;;;2R;PD;RECEPTION;;;;;;;;;
;;;2R;PD;DRIVE;;;;;;;;;
;;;3R;CD;DRIVE;;;;;;;;;
;;;3C;CD;DRIVE;;;;;;;;;
;;;4C;CD;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;PASS;FREETHROW;09'44'';;;;;;;
;;;;;;;;;;;;;;
24'57'';12'26'';RECOVERY;3R;CM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3L;PD;RECEPTION;;;;;;;;;
;;;3L;PD;DRIVE;;;;;;;;;
;;;4L;PD;SHOT ATTEMPT;GK SAVE;12'34'';;;;;;;
;;;;;;;;;;;;;;
27'23'';14'51'';FALL;4R;PD;CROSS;GK KICK;14'55'';;;;;;;
;;;;;;;;;;;;;;
28'01'';15'30'';RECOVERY;2C;F;PASS;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2L;CM;RECEPTION;;;;;;;;;
;;;2L;CM;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;3L;PD;RECEPTION;;;;;;;;;
;;;3L;PD;DRIVE;;;;;;;;;
;;;3L;CD;PASS;;;;;;;;;
;;;3C;CD;RECEPTION;;;;;;;;;
;;;3C;CD;DRIVE;;;;;;;;;
;;;4C;CD;DRIVE;DISARM;15'47'';;;;;;;
;;;;;;;;;;;;;;
31'27'';18'56'';CORNER;4L;PD;CROSS;;;;;;;;;
;;;4C;CD;PASS;;;;;;;;;
;;;4C;PB;PASS;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;GK KICK;19'01'';;;;;;;
;;;;;;;;;;;;;;
34'17'';21'46'';FALL;3C;F;CROSS;;;;;;;;;
;;;4L;PD;PASS;FREETHROW;21'52'';;;;;;;
;;;;;;;;;;;;;;
35'21'';22'50'';RECOVERY;2C;CM;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;3R;PD;RECEPTION;;;;;;;;;
;;;3R;PD;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;DRIVE;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;CROSS;;;;;;;;;
;;;4C;CD;HEADING ATTEMPT;GK KICK;23'11'';;;;;;;
;;;;;;;;;;;;;;
37'28'';24'26'';FALL;2R;F;PASS;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;DRIVE;;;;;;;;;
;;;3L;F;PASS;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3L;F;RECEPTION;;;;;;;;;
;;;3L;F;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;GK SAVE;25'30'';;;;;;;
;;;;;;;;;;;;;;
38'03'';25'32'';RECOVERY;4C;CB;HEADING ATTEMPT;CORNER;25'33'';;;;;;;
;;;;;;;;;;;;;;
39'37'';27'06'';CORNER;4L;PD;CROSS;INCOMPLETE INTERCEPTION;27'08'';;;;;;;
;;;;;;;;;;;;;;
39'41'';27'10'';RECOVERY;4C;CM;SHOT ATTEMPT;BLOCK;27'12'';;;;;;;
;;;;;;;;;;;;;;
45'22'';32'51'';FALL;3R;F;CROSS;INTERCEPTION;32'52'';;;;;;;
;;;;;;;;;;;;;;
50'27'';37'56'';DISARM;3R;CM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4C;CM;RECEPTION;;;;;;;;;
;;;4C;CM;PASS;;;;;;;;;
;;;4L;PD;PASS;GK SAVE;38'09'';;;;;;;
;;;;;;;;;;;;;;
51'04'';38'33'';RECOVERY;1C;F;PASS;;;;;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;DRIVE;;;;;;;;;
;;;2L;CM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
;;;4L;PM;PASS;;;;;;;;;
;;;4C;CD;PASS;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;GK KICK;38'51'';;;;;;;
;;;;;;;;;;;;;;
53'22'';40'51'';FALL;4L;PD;CROSS;GK SAVE;40'52'';;;;;;;
;;;;;;;;;;;;;;
55'49'';43'18'';FALL;4C;CM;PASS;GK SAVE;43'19'';;;;;;;
;;;;;;;;;;;;;;
55'52'';43'20'';RECOVERY;4C;PD;SHOT ATTEMPT;GK SAVE;43'23'';;;;;;;
;;;;;;;;;;;;;;
SECOND PERIOD;;;;;;;;;;;;;;
04'45'';47'26'';FALL;4R;PD;CROSS;;;;;;;;;
;;;4C;CM;SHOT ATTEMPT;BLOCK;47'28'';;;;;;;
;;;;;;;;;;;;;;
13'00'';55'42'';INTERCEPTION;4R;PD;CROSS;FREETHROW;55'53'';;;;;;;
;;;;;;;;;;;;;;
17'29'';60'11'';FALL;4R;PD;SHOT ATTEMPT;GK KICK;60'12'';;;;;;;
;;;;;;;;;;;;;;
26'06'';68'47'';FALL;3C;F;CROSS;INTERCEPTION;68'49'';;;;;;;
;;;;;;;;;;;;;;
28'56'';71'38'';DISARM;3L;CM;DRIVE;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3R;PB;RECEPTION;;;;;;;;;
;;;3R;PB;DRIVE;;;;;;;;;
;;;4R;PB;DRIVE;OFFENSIVE FALL;71'45'';;;;;;;
;;;;;;;;;;;;;;
35'10'';77'51'';RECOVERY;4C;CM;SHOT ATTEMPT;POST;77'54'';;;;;;;
;;;;;;;;;;;;;;
36'40'';79'22'';CORNER;4L;PD;CROSS;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;POST;79'24'';;;;;;;
;;;;;;;;;;;;;;
36'54'';79'36'';FREETHROW;4R;PM;PASS;;;;;;;;;
;;;4R;F;RECEPTION;;;;;;;;;
;;;4R;F;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;3R;F;RECEPTION;;;;;;;;;
;;;3R;F;PASS;;;;;;;;;
;;;3R;F;RECEPTION;;;;;;;;;
;;;3R;F;PASS;;;;;;;;;
;;;3C;F;RECEPTION;;;;;;;;;
;;;3C;F;DRIVE;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;DRIVE;;;;;;;;;
;;;4L;PM;CROSS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;DRIVE;;;;;;;;;
;;;4R;PB;PASS;CORNER;80'00'';;;;;;;
;;;;;;;;;;;;;;
37'41'';80'23'';CORNER;4R;PD;CROSS;CORNER;80'24'';;;;;;;
;;;;;;;;;;;;;;
37'58'';80'39'';CORNER;4R;PD;CROSS;FREETHROW;80'43'';;;;;;;
;;;;;;;;;;;;;;
46'43'';89'25'';FREETHROW;4L;PD;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
