ARG X PAR;Game Time;Start Task;ESC;SDO;Progression Task;End Task;End Time;Advantage Situation;OPP Defensive Formation;;;;;
;;;;;;;;GOAL 28'16'';00'00'' FORMATION 4-5-1;;;;;
FIRST PERIOD;;;;;;;;GOAL 35'19'';;;;;;
15'36'';02'01'';INTERCEPTION;2C;CM;PASS;;;OPP GOAL 59'48'';;;;;;
;;;3L;CD;RECEPTION;;;OPP GOAL 89'04'';;;;;;
;;;3L;CD;PASS;OFFENSIVE FALL;02'07'';;;;;;;
;;;;;;;;;;;;;;
17'17'';03'41'';GK KICK;1C;F;PASS;;;;;;;;;
;;;1L;F;RECEPTION;;;;;;;;;
;;;1L;F;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;DRIVE;;;;;;;;;
;;;2L;CM;DRIVE;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;4L;PD;CROSS;INCOMPLETE INTERCEPTION;04'09'';;;;;;;
;;;;;;;;;;;;;;
17'47'';04'12'';RECOVERY;4L;CM;SHOT ATTEMPT;CORNER;04'14'';;;;;;;
;;;;;;;;;;;;;;
18'20'';04'45'';CORNER;4R;PD;CROSS;INCOMPLETE INTERCEPTION;04'46'';;;;;;;
;;;;;;;;;;;;;;
18'24'';04'48'';RECOVERY;4R;F;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;CROSS;;;;;;;;;
;;;4L;PM;RECEPTION;;;;;;;;;
;;;4L;PM;PASS;;;;;;;;;
;;;3L;F;RECEPTION;;;;;;;;;
;;;3L;F;CROSS;;;;;;;;;
;;;4C;CD;HEADING ATTEMPT;GK KICK;05'05'';;;;;;;
;;;;;;;;;;;;;;
21'25'';07'50'';CORNER;4R;PD;PASS;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;DRIVE;;;;;;;;;
;;;4R;PM;CROSS;;;;;;;;;
;;;4C;CD;HEADING ATTEMPT;BLOCK;08'02'';;;;;;;
;;;;;;;;;;;;;;
21'40'';08'05'';DISARM;4L;PM;PASS;;;;;;;;;
;;;3L;F;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
;;;4L;CM;RECEPTION;;;;;;;;;
;;;4L;CM;DRIVE;;;;;;;;;
;;;4L;PM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;DRIVE;;;;;;;;;
;;;4L;PM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;CROSS;INCOMPLETE INTERCEPTION;08'26'';;;;;;;
;;;;;;;;;;;;;;
22'22'';08'46'';CORNER;4L;PD;CROSS;INTERCEPTION;08'49'';;;;;;;
;;;;;;;;;;;;;;
25'28'';11'53'';FALL;3R;F;PASS;;;;;;;;;
;;;4C;CM;PASS;INCOMPLETE INTERCEPTION;11'55'';;;;;;;
;;;;;;;;;;;;;;
26'10'';12'35'';RECOVERY;3R;PM;DRIVE;;;;;;;;;
