BRA X COL;Game Time;Start Task;ESC;SDO;Progression Task;End Task;End Time;Advantage Situation;OPP Defensive Formation;;;;;
;;;;;;;;OPP GOAL 35'43'';00'00'' FORMATION 4-4-2;;;;;
FIRST PERIOD;;;;;;;;TEAM EXPULSION 94'00'';;;;;;
21'06'';01'30'';RECOVERY;4C;CD;PASS;;;OPP TEAM EXPULSION 94'00'';;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4C;CD;PASS;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;BLOCK;01'37'';;;;;;;
;;;;;;;;;;;;;;
28'16'';08'41'';RECOVERY;3L;CM;DRIVE;;;;;;;;;
;;;4L;CM;SHOT ATTEMPT;GK SAVE;08'46'';;;;;;;
;;;;;;;;;;;;;;
33'51'';14'15'';FALL;2L;CM;PASS;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;DRIVE;;;;;;;;;
;;;3C;CD;DRIVE;;;;;;;;;
;;;4C;CD;PASS;INTERCEPTION;14'23'';;;;;;;
;;;;;;;;;;;;;;
41'01'';21'25'';RECOVERY;1L;F;PASS;;;;;;;;;
;;;2L;CM;PASS;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;1L;F;RECEPTION;;;;;;;;;
;;;1L;F;PASS;;;;;;;;;
;;;1C;F;RECEPTION;;;;;;;;;
;;;1C;F;PASS;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2L;PM;RECEPTION;;;;;;;;;
;;;2L;PM;PASS;;;;;;;;;
;;;2L;PM;RECEPTION;;;;;;;;;
;;;2L;PM;PASS;;;;;;;;;
;;;2L;CM;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;1C;F;RECEPTION;;;;;;;;;
;;;1C;F;PASS;;;;;;;;;
;;;2R;PM;RECEPTION;;;;;;;;;
;;;2R;PM;PASS;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;SHOT ATTEMPT;GK KICK;22'05'';;;;;;;
;;;;;;;;;;;;;;
43'57'';24'21'';DISARM;2L;PD;DRIVE;;;;;;;;;
;;;3L;PD;DRIVE;;;;;;;;;
;;;3L;CD;DRIVE;;;;;;;;;
;;;4L;CD;DRIVE;DISARM;24'29'';;;;;;;
;;;;;;;;;;;;;;
58'23'';38'47'';RECOVERY;2C;CM;PASS;;;;;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2R;PM;RECEPTION;;;;;;;;;
;;;2R;PM;DRIVE;;;;;;;;;
;;;3R;PM;DRIVE;;;;;;;;;
;;;3R;CM;DRIVE;;;;;;;;;
;;;4R;CM;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;CROSS;INCOMPLETE INTERCEPTION;39'05'';;;;;;;
;;;;;;;;;;;;;;
01'03'03'';43'27'';RECOVERY;2C;F;PASS;;;;;;;;;
;;;3C;CD;RECEPTION;;;;;;;;;
;;;3C;CD;DRIVE;;;;;;;;;
;;;4R;PB;CROSS;;;;;;;;;
;;;4C;PB;HEADING ATTEMPT;GK SAVE;43'34'';;;;;;;
;;;;;;;;;;;;;;
SECOND PERIOD;;;;;;;;;;;;;;
08'09'';46'25'';INTERCEPTION;2C;CM;PASS;;;;;;;;;
;;;3L;PD;PASS;;;;;;;;;
;;;3L;CD;RECEPTION;;;;;;;;;
;;;3L;CD;DRIVE;;;;;;;;;
;;;4L;CD;PASS;INTERCEPTION;46'32'';;;;;;;
;;;;;;;;;;;;;;
09'05'';47'21'';RECOVERY;3L;CM;PASS;;;;;;;;;
;;;4R;PB;RECEPTION;;;;;;;;;
;;;4R;PB;SHOT ATTEMPT;GK KICK;47'30'';;;;;;;
;;;;;;;;;;;;;;
15'39'';53'55'';FALL;3C;F;CROSS;GK SAVE;53'57'';;;;;;;
;;;;;;;;;;;;;;
18'51'';57'07'';RECOVERY;4C;CD;SHOT ATTEMPT;GK KICK;57'08'';;;;;;;
;;;;;;;;;;;;;;
22'27'';60'42'';RECOVERY;2C;CD;DRIVE;;;;;;;;;
;;;3C;CD;DRIVE;DISARM;60'47'';;;;;;;
;;;;;;;;;;;;;;
24'56'';63'12'';CORNER;4L;PD;CROSS;INTERCEPTION;63'14'';;;;;;;
;;;;;;;;;;;;;;
27'59'';66'14'';RECOVERY;2L;F;PASS;;;;;;;;;
;;;1L;F;RECEPTION;;;;;;;;;
;;;1L;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2R;PM;RECEPTION;;;;;;;;;
;;;2R;PM;DRIVE;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;DRIVE;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;DRIVE;;;;;;;;;
;;;4L;CM;SHOT ATTEMPT;BLOCK;66'37'';;;;;;;
;;;;;;;;;;;;;;
31'08'';69'24'';FREETHROW;3L;PM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;CROSS;INCOMPLETE INTERCEPTION;69'33'';;;;;;;
;;;;;;;;;;;;;;
35'28'';73'43'';CORNER;4R;PD;CROSS;GK SAVE;73'45'';;;;;;;
;;;;;;;;;;;;;;
37'42'';75'57'';CORNER;4L;PD;CROSS;INCOMPLETE INTERCEPTION;75'59'';;;;;;;
;;;;;;;;;;;;;;
37'59'';76'15'';RECOVERY;4L;PM;PASS;;;;;;;;;
;;;3L;F;RECEPTION;;;;;;;;;
;;;3L;F;PASS;;;;;;;;;
;;;3C;F;RECEPTION;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;3L;F;RECEPTION;;;;;;;;;
;;;3L;F;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;4L;PM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;DRIVE;;;;;;;;;
;;;4L;PM;PASS;;;;;;;;;
;;;4L;PM;RECEPTION;;;;;;;;;
;;;4L;PM;PASS;;;;;;;;;
;;;4L;CM;RECEPTION;;;;;;;;;
;;;4L;CM;DRIVE;;;;;;;;;
;;;4L;CD;DRIVE;INCOMPLETE DISARM;76'33'';;;;;;;
;;;;;;;;;;;;;;
40'23'';78'38'';RECOVERY;4L;PM;CROSS;;;;;;;;;
;;;4L;PD;HEADING ATTEMPT;GK KICK;78'42'';;;;;;;
;;;;;;;;;;;;;;
45'23'';83'38'';RECOVERY;3R;F;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;4R;CD;PASS;;;;;;;;;
;;;3R;F;RECEPTION;;;;;;;;;
;;;3R;F;PASS;;;;;;;;;
;;;3C;F;RECEPTION;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;4L;PM;RECEPTION;;;;;;;;;
;;;4L;PM;DRIVE;;;;;;;;;
;;;4L;CM;SHOT ATTEMPT;GK KICK;84'00'';;;;;;;
;;;;;;;;;;;;;;
50'48'';39'04'';RECOVERY;3R;PM;DRIVE;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;4R;CD;PASS;;;;;;;;;
;;;4C;CD;RECEPTION;;;;;;;;;
;;;4C;CD;PASS;;;;;;;;;
;;;4R;CD;RECEPTION;;;;;;;;;
;;;4R;CD;DRIVE;;;;;;;;;
;;;4R;CM;DRIVE;;;;;;;;;
;;;4C;CM;SHOT ATTEMPT;BLOCK;89'12'';;;;;;;
;;;;;;;;;;;;;;
54'54'';93'09'';RECOVERY;3C;F;PASS;;;;;;;;;
;;;3C;F;RECEPTION;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;DRIVE;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;3L;F;RECEPTION;;;;;;;;;
;;;3L;F;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;4L;PB;CROSS;CORNER;93'29'';;;;;;;
;;;;;;;;;;;;;;
55'35'';93'51'';CORNER;4L;PD;CROSS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;CROSS;INTERCEPTION;93'58'';;;;;;;
