BRA X PAR;Game Time;Start Task;ESC;SDO;Progression Task;End Task;End Time;Advantage Situation;OPP Defensive Formation;;;;;
;;;;;;;;GOAL 14'27'';00'00'' FORMATION 4-4-2;;;;;
FIRST PERIOD;;;;;;;;OPP GOAL 71'11'';;;;;;
13'23'';00'52'';RECOVERY;2L;PM;PASS;;;;;;;;;
;;;3L;PD;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;SHOT ATTEMPT;CORNER;01'01'';;;;;;;
;;;;;;;;;;;;;;
13'57'';01'26'';CORNER;4L;PD;CROSS;INTERCEPTION;01'29'';;;;;;;
;;;;;;;;;;;;;;
19'15'';06'45'';FALL;3R;F;CROSS;GK KICK;06'48'';;;;;;;
;;;;;;;;;;;;;;
26'02'';13'32'';FALL;2C;F;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;GOAL;14'27'';;;;;;;
;;;;;;;;;;;;;;
37'14'';24'44'';FALL;3L;F;PASS;;;;;;;;;
;;;3L;F;CROSS;INTERCEPTION;24'47'';;;;;;;
;;;;;;;;;;;;;;
42'53'';30'23'';FREETHROW;2R;PM;PASS;;;;;;;;;
;;;2R;PM;RECEPTION;;;;;;;;;
;;;2R;PM;PASS;;;;;;;;;
;;;1R;F;RECEPTION;;;;;;;;;
;;;1R;F;PASS;;;;;;;;;
;;;1C;F;RECEPTION;;;;;;;;;
;;;1C;F;PASS;;;;;;;;;
;;;2L;PM;RECEPTION;;;;;;;;;
;;;2L;PM;DRIVE;;;;;;;;;
;;;2L;CM;PASS;;;;;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2L;CM;PASS;;;;;;;;;
;;;3L;CD;RECEPTION;;;;;;;;;
;;;3L;CD;PASS;;;;;;;;;
;;;3C;CD;PASS;INTERCEPTION;30'42'';;;;;;;
;;;;;;;;;;;;;;
56'04'';43'34'';DISARM;2L;CM;PASS;;;;;;;;;
;;;2L;CD;RECEPTION;;;;;;;;;
;;;2L;CD;DRIVE;;;;;;;;;
;;;3L;CD;DRIVE;;;;;;;;;
;;;3C;CD;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3C;F;RECEPTION;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;DISARM;44'06'';;;;;;;
;;;;;;;;;;;;;;
SECOND PERIOD;;;;;;;;;;;;;;
10'23'';52'34'';DISARM;4L;PD;PASS;;;;;;;;;
;;;4L;CD;RECEPTION;;;;;;;;;
;;;4L;CD;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
;;;4L;CM;PASS;;;;;;;;;
;;;4L;CM;RECEPTION;;;;;;;;;
;;;4L;CM;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;SHOT ATTEMPT;GK KICK;52'47'';;;;;;;
;;;;;;;;;;;;;;
15'06'';57'16'';RECOVERY;3R;CM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
;;;4L;PD;CROSS;OFFENSIVE FALL;57'25'';;;;;;;
;;;;;;;;;;;;;;
16'52'';59'03'';GK KICK;1C;F;PASS;;;;;;;;;
;;;3L;CD;RECEPTION;;;;;;;;;
;;;3L;CD;DRIVE;;;;;;;;;
;;;3C;CD;SHOT ATTEMPT;GK KICK;59'11'';;;;;;;
;;;;;;;;;;;;;;
22'12'';64'23'';RECOVERY;2C;CM;PASS;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;3R;PD;RECEPTION;;;;;;;;;
;;;3R;PD;DRIVE;;;;;;;;;
;;;3R;CD;DRIVE;;;;;;;;;
;;;4C;CD;PASS;INTERCEPTION;64'32'';;;;;;;
;;;;;;;;;;;;;;
23'43'';65'54'';RECOVERY;2C;CM;PASS;;;;;;;;;
;;;3C;CD;RECEPTION;;;;;;;;;
;;;3C;CD;DRIVE;;;;;;;;;
;;;3R;CD;DRIVE;;;;;;;;;
;;;3R;PD;PASS;;;;;;;;;
;;;3R;CD;RECEPTION;;;;;;;;;
;;;3R;CD;PASS;;;;;;;;;
;;;4R;PD;CROSS;INTERCEPTION;66'03'';;;;;;;
;;;;;;;;;;;;;;
24'20'';66'31'';RECOVERY;2L;F;PASS;;;;;;;;;
;;;3L;CD;RECEPTION;;;;;;;;;
;;;3L;CD;DRIVE;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4C;CD;RECEPTION;DISARM;66'47'';;;;;;;
;;;;;;;;;;;;;;
25'55'';68'06'';INTERCEPTION;2L;CM;PASS;;;;;;;;;
;;;2L;CM;PASS;;;;;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;3C;CD;RECEPTION;;;;;;;;;
;;;3C;CD;DRIVE;;;;;;;;;
;;;4C;CD;DRIVE;DISARM;68'16'';;;;;;;
;;;;;;;;;;;;;;
35'18'';77'29'';CORNER;4R;PD;CROSS;INCOMPLETE INTERCEPTION;77'31'';;;;;;;
;;;;;;;;;;;;;;
35'22';77'33'';RECOVERY;4L;PM;PASS;;;;;;;;;
;;;4L;CM;RECEPTION;;;;;;;;;
;;;4L;CM;PASS;;;;;;;;;
;;;4L;PB;CROSS;INTERCEPTION;77'38'';;;;;;;
;;;;;;;;;;;;;;
39'23'';81'34'';RECOVERY;4L;PD;DRIVE;;;;;;;;;
;;;4L;CD;SHOT ATTEMPT;GK SAVE;81'38'';;;;;;;
;;;;;;;;;;;;;;
40'41'';82'52'';FALL;4L;F;SHOT ATTEMPT;GK KICK;82'53'';;;;;;;
;;;;;;;;;;;;;;
46'20'';88'31'';CORNER;4L;PD;CROSS;INTERCEPTION;88'34'';;;;;;;
;;;;;;;;;;;;;;
46'56'';89'07'';CORNER;4R;PD;CROSS;INCOMPLETE INTERCEPTION;89'08'';;;;;;;
