BRA X PER;Game Time;Start Task;ESC;SDO;Progression Task;End Task;End Time;Advantage Situation;OPP Defensive Formation;;;;;
;;;;;;;;OPP GOAL 02'13'';00'00'' FORMATION 4-4-2;;;;;
FIRST PERIOD;;;;;;;;GOAL 04'26'';;;;;;
16'24'';03'17'';RECOVERY;2C;F;PASS;;;GOAL 91'29'';;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3R;CD;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;DRIVE;;;;;;;;;
;;;4R;PM;DRIVE;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;2L;PM;RECEPTION;;;;;;;;;
;;;2L;PM;DRIVE;;;;;;;;;
;;;3L;PM;DRIVE;;;;;;;;;
;;;3L;CM;DRIVE;;;;;;;;;
;;;3L;F;PASS;;;;;;;;;
;;;3C;F;RECEPTION;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;DRIVE;;;;;;;;;
;;;4R;PM;CROSS;;;;;;;;;
;;;4C;CD;HEADING ATTEMPT;GOAL;04'26'';;;;;;;
;;;;;;;;;;;;;;
22'21'';09'13'';RECOVERY;4C;CM;PASS;;;;;;;;;
;;;4L;PD;SHOT ATTEMPT;CORNER;09'20'';;;;;;;
;;;;;;;;;;;;;;
22'59'';09'52'';CORNER;4R;PD;CROSS;INCOMPLETE INTERCEPTION;09'54'';;;;;;;
;;;;;;;;;;;;;;
23'03'';09'55'';RECOVERY;4C;CM;PASS;;;;;;;;;
;;;4C;CM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;DRIVE;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;3L;CD;RECEPTION;;;;;;;;;
;;;3L;CD;PASS;;;;;;;;;
;;;4C;PD;RECEPTION;;;;;;;;;
;;;4C;PD;SHOT ATTEMPT;GK KICK;10'18'';;;;;;;
;;;;;;;;;;;;;;
24'59'';11'52'';RECOVERY;2C;CD;DRIVE;;;;;;;;;
;;;3C;CD;DRIVE;;;;;;;;;
;;;4C;CD;PASS;;;;;;;;;
;;;4R;PD;SHOT ATTEMPT;BLOCK;11'58'';;;;;;;
;;;;;;;;;;;;;;
25'07'';11'59'';RECOVERY;4C;CD;SHOT ATTEMPT;BLOCK;12'00'';;;;;;;
;;;;;;;;;;;;;;
27'11'';14'03'';INTERCEPTION;2R;CM;DRIVE;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2L;PM;RECEPTION;;;;;;;;;
;;;2L;PM;DRIVE;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;4R;CM;RECEPTION;;;;;;;;;
;;;4R;CM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3C;F;RECEPTION;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
;;;4L;CM;RECEPTION;;;;;;;;;
;;;4L;CM;SHOT ATTEMPT;BLOCK;14'51'';;;;;;;
;;;;;;;;;;;;;;
29'44'';16'37'';DISARM;1C;F;PASS;;;;;;;;;
;;;1L;PM;RECEPTION;;;;;;;;;
;;;1L;PM;PASS;;;;;;;;;
;;;1L;CM;PASS;;;;;;;;;
;;;2L;CD;PASS;;;;;;;;;
;;;2L;CM;RECEPTION;;;;;;;;;
;;;2L;CM;DRIVE;;;;;;;;;
;;;2L;CD;DRIVE;;;;;;;;;
;;;3C;CD;PASS;FREETHROW;16'55'';;;;;;;
;;;;;;;;;;;;;;
32'14'';19'07'';RECOVERY;2L;CM;PASS;;;;;;;;;
;;;2L;CM;RECEPTION;;;;;;;;;
;;;2L;CM;PASS;;;;;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2L;PM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;CROSS;;;;;;;;;
;;;4C;CB;HEADING ATTEMPT;GK KICK;19'31'';;;;;;;
;;;;;;;;;;;;;;
41'30'';28'23'';CORNER;4R;PD;CROSS;INCOMPLETE INTERCEPTION;28'25'';;;;;;;
;;;;;;;;;;;;;;
47'25'';34'18'';INTERCEPTION;2C;CM;PASS;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2R;PM;RECEPTION;;;;;;;;;
;;;2R;PM;PASS;;;;;;;;;
;;;2L;PM;RECEPTION;;;;;;;;;
;;;2L;PM;DRIVE;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;PD;RECEPTION;;;;;;;;;
;;;3L;PD;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;DRIVE;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;SHOT ATTEMPT;GK KICK;34'47'';;;;;;;
;;;;;;;;;;;;;;
50'31'';37'24'';RECOVERY;4R;CM;DRIVE;;;;;;;;;
;;;4R;CD;PASS;;;;;;;;;
;;;4R;PD;CROSS;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
