BRA X VENE;Game Time;Start Task;ESC;SDO;Progression Task;End Task;End Time;Advantage Situation;OPP Defensive Formation;;;;;
;;;;;;;;GOAL 08'03'';00'00'' FORMATION 4-4-2;;;;;
FIRST PERIOD;;;;;;;;GOAL 50'56'';;;;;;
19'21'';05'44'';DISARM;3R;CM;PASS;;;OPP GOAL 83'42'';;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4L;PM;RECEPTION;;;;;;;;;
;;;4L;PM;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;CROSS;INCOMPLETE INTERCEPTION;06'02'';;;;;;;
;;;;;;;;;;;;;;
19'40'';06'03'';RECOVERY;4R;CM;PASS;;;;;;;;;
;;;4R;PD;CROSS;FREETHROW;06'10'';;;;;;;
;;;;;;;;;;;;;;
20'04'';06'27'';RECOVERY;2R;F;PASS;;;;;;;;;
;;;1R;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;DRIVE;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;CORNER;06'49'';;;;;;;
;;;;;;;;;;;;;;
20'55'';07'18'';CORNER;4R;PD;CROSS;INCOMPLETE INTERCEPTION;07'20'';;;;;;;
;;;;;;;;;;;;;;
20'59'';07'22'';RECOVERY;4R;F;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;CROSS;INCOMPLETE INTERCEPTION;07'27'';;;;;;;
;;;;;;;;;;;;;;
21'37'';08'00'';CORNER;4R;PD;CROSS;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;GOAL;08'03'';;;;;;;
;;;;;;;;;;;;;;
28'23'';14'46'';INTERCEPTION;1L;CM;PASS;;;;;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;DRIVE;;;;;;;;;
;;;3R;CM;DRIVE;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2L;PM;RECEPTION;;;;;;;;;
;;;2L;PM;PASS;;;;;;;;;
;;;2L;CM;RECEPTION;;;;;;;;;
;;;2L;CM;DRIVE;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;GK KICK;15'33'';;;;;;;
;;;;;;;;;;;;;;
36'41'';23'04'';FREETHROW;4R;PM;PASS;;;;;;;;;
;;;4R;CM;RECEPTION;;;;;;;;;
;;;4R;CM;PASS;;;;;;;;;
;;;4R;CM;RECEPTION;;;;;;;;;
;;;4R;CM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;SHOT ATTEMPT;CORNER;23'15'';;;;;;;
;;;;;;;;;;;;;;
37'12'';23'35'';CORNER;4L;PD;CROSS;;;;;;;;;
;;;4C;CM;PASS;;;;;;;;;
;;;4C;CM;SHOT ATTEMPT;BLOCK;23'40'';;;;;;;
;;;;;;;;;;;;;;
37'17'';23'41'';RECOVERY;4C;CM;SHOT ATTEMPT;BLOCK;23'42'';;;;;;;
;;;;;;;;;;;;;;
37'48'';24'11'';RECOVERY;4C;CM;SHOT ATTEMPT;BLOCK;24'12'';;;;;;;
;;;;;;;;;;;;;;
44'42'';31'05'';FALL;2C;F;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;3L;F;RECEPTION;;;;;;;;;
;;;3L;F;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
