CHI X BOL;Game Time;Start Task;ESC;SDO;Progression Task;End Task;End Time;Advantage Situation;OPP Defensive Formation;;;;;
;;;;;;;;GOAL 02'36'';00'00'' FORMATION 4-4-2;;;;;
FIRST PERIOD;;;;;;;;GOAL 36'51'';;;;;;
19'35'';02'04'';INTERCEPTION;1C;F;PASS;;;GOAL 65'35'';;;;;;
;;;1R;CM;PASS;;;GOAL 78'54'';;;;;;
;;;2R;CM;PASS;;;GOAL 85'44'';;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2L;PM;RECEPTION;;;;;;;;;
;;;2L;PM;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;DRIVE;;;;;;;;;
;;;2R;PM;DRIVE;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;4C;CD;PASS;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;GOAL;02'36'';;;;;;;
;;;;;;;;;;;;;;
22'47'';05'15'';INTERCEPTION;1L;F;PASS;;;;;;;;;
;;;2L;PM;PASS;;;;;;;;;
;;;1L;F;PASS;;;;;;;;;
;;;2L;PM;RECEPTION;;;;;;;;;
;;;2L;PM;PASS;;;;;;;;;
;;;1L;F;RECEPTION;;;;;;;;;
;;;1L;F;PASS;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
