CHI X MEX;Game Time;Start Task;ESC;SDO;Progression Task;End Task;End Time;Advantage Situation;OPP Defensive Formation;;;;;
;;;;;;;;OPP GOAL 20'24'';00'00'' FORMATION 4-4-2;;;;;
FIRST PERIOD;;;;;;;;GOAL 21'49'';;;;;;
19'33'';1'19'';RECOVERY;3R;CD;DRIVE;;;OPP GOAL 28'52'';;;;;;
;;;3R;PD;DRIVE;;;GOAL 41'42'';;;;;;
;;;4R;PD;CROSS;GK SAVE;1'28'';GOAL 54'37'';;;;;;
;;;;;;;;OPP GOAL 65'11'';;;;;;
22'11'';3'58'';FALL;3R;PM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4C;CD;RECEPTION;OFFSIDE;4'01'';;;;;;;
;;;;;;;;;;;;;;
26'49'';8'36'';INTERCEPTION;2L;PM;PASS;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;1C;F;RECEPTION;;;;;;;;;
;;;1C;F;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;4L;PD;CROSS;INTERCEPTION;8'56'';;;;;;;
;;;;;;;;;;;;;;
29'21'';11'08'';FALL;2C;F;PASS;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3C;CD;PASS;;;;;;;;;
;;;3C;CD;RECEPTION;OFFSIDE;11'14'';;;;;;;
;;;;;;;;;;;;;;
32'50'';14'36'';RECOVERY;3C;CD;SHOT ATTEMPT;GK SAVE;14'39'';;;;;;;
;;;;;;;;;;;;;;
40'00'';21'46'';CORNER;4R;PD;CROSS;;;;;;;;;
;;;4C;CM;HEADING ATTEMPT;GOAL;21'49'';;;;;;;
;;;;;;;;;;;;;;
44'01'';25'48'';RECOVERY;3L;CD;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;4L;PM;RECEPTION;;;;;;;;;
;;;4L;PM;CROSS;;;;;;;;;
;;;4C;CB;HEADING ATTEMPT;GK KICK;26'01'';;;;;;;
;;;;;;;;;;;;;;
49'10'';30'57'';INTERCEPTION;1C;F;PASS;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;2L;PD;RECEPTION;;;;;;;;;
;;;2L;PD;DRIVE;;;;;;;;;
;;;3L;PD;DRIVE;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
;;;4C;CD;PASS;;;;;;;;;
;;;4C;CD;RECEPTION;INCOMPLETE DISARM;31'12'';;;;;;;
;;;;;;;;;;;;;;
50'28'';32'15'';FALL;4C;F;SHOT ATTEMPT;GK KICK;32'16'';;;;;;;
;;;;;;;;;;;;;;
53'01'';34'48'';RECOVERY;3L;PD;PASS;;;;;;;;;
;;;3C;CD;RECEPTION;;;;;;;;;
;;;3C;CD;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;DRIVE;;;;;;;;;
;;;4L;CD;DRIVE;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;BLOCK;34'56'';;;;;;;
