CHI X PER;Game Time;Start Task;ESC;SDO;Progression Task;End Task;End Time;Advantage Situation; OPP Defensive Formation;;;;;
;;;;;;;;OPP EXPULSION 19'25'';00'00'' FORMATION 4-4-2;;;;;
FIRST PERIOD;;;;;;;;GOAL 41'31'';22'44'' FORMATION 4-4-1;;;;;
14'58'';00'36'';RECOVERY;1L;F;PASS;;;OPP GOAL 59'48'';;;;;;
;;;1C;F;RECEPTION;;;GOAL 63'36'';;;;;;
;;;1C;F;DRIVE;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;3L;PM;RECEPTION;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;4R;PD;CROSS;INCOMPLETE INTERCEPTION;01'11'';;;;;;;
;;;;;;;;;;;;;;
16'50'';02'28'';DISARM;3C;CM;PASS;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;BLOCK;02'33'';;;;;;;
;;;;;;;;;;;;;;
17'32'';03'09'';CORNER;4R;PD;PASS;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4R;PD;CROSS;GK KICK;03'21'';;;;;;;
;;;;;;;;;;;;;;
23'32'';09'10'';CORNER;4L;PD;CROSS;GK SAVE;09'12'';;;;;;;
;;;;;;;;;;;;;;
25'20'';10'58'';FALL;3R;F;CROSS;;;;;;;;;
;;;4L;PD;HEADING ATTEMPT;GK KICK;11'02'';;;;;;;
;;;;;;;;;;;;;;
25'53'';11'31'';RECOVERY;2C;CM;PASS;;;;;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;3L;PD;RECEPTION;;;;;;;;;
;;;3L;PD;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;CROSS;;;;;;;;;
;;;4L;PD;RECEPTION;DISARM;11'46'';;;;;;;
;;;;;;;;;;;;;;
28'07'';13'45'';DISARM;3C;CM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;DRIVE;;;;;;;;;
;;;3R;PM;DRIVE;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;4R;PD;CROSS;INCOMPLETE INTERCEPTION;13'54'';;;;;;;
;;;;;;;;;;;;;;
37'06'';22'44'';FALL;3C;CM;SHOT ATTEMPT;BLOCK;22'46'';;;;;;;
;;;;;;;;;;;;;;
39'46'';25'24'';FALL;4L;F;CROSS;GK SAVE;25'26'';;;;;;;
;;;;;;;;;;;;;;
39'51'';25'28;RECOVERY;4C;CM;SHOT ATTEMPT;GK KICK;25'29'';;;;;;;
;;;;;;;;;;;;;;
41'57'';27'35'';RECOVERY;3L;F;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;PASS;;;;;;;;;
;;;4C;CD;RECEPTION;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;GK KICK;27'40'';;;;;;;
;;;;;;;;;;;;;;
44'54'';30'32'';RECOVERY;4R;CM;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;CROSS;INCOMPLETE INTERCEPTION;30'39'';;;;;;;
;;;;;;;;;;;;;;
45'33'';31'11'';CORNER;4R;PD;CROSS;INCOMPLETE INTERCEPTION;31'13'';;;;;;;
;;;;;;;;;;;;;;
47'10'';32'48'';FALL;1R;F;PASS;;;;;;;;;
;;;2R;F;RECEPTION;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2R;F;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;PASS;;;;;;;;;
;;;2L;CM;RECEPTION;;;;;;;;;
;;;2L;CM;PASS;;;;;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;DRIVE;;;;;;;;;
;;;4C;CM;PASS;;;;;;;;;
;;;4R;CD;RECEPTION;;;;;;;;;
;;;4R;CD;PASS;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4C;CD;PASS;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;GK SAVE;33'27'';;;;;;;
;;;;;;;;;;;;;;
51'33'';37'11'';CORNER;4R;PD;CROSS;INCOMPLETE INTERCEPTION;37'13'';;;;;;;
;;;;;;;;;;;;;;
52'03'';37'40'';INTERCEPTION;1C;F;PASS;;;;;;;;;
;;;1C;CM;RECEPTION;;;;;;;;;
;;;1C;CM;DRIVE;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;3L;PD;PASS;;;;;;;;;
;;;3C;CD;PASS;;;;;;;;;
;;;3L;PD;PASS;;;;;;;;;
;;;4L;CD;RECEPTION;DISARM;37'55'';;;;;;;
;;;;;;;;;;;;;;
54'08'';39'46'';FALL;2R;F;PASS;;;;;;;;;
;;;2R;CM;RECEPTION;;;;;;;;;
;;;2R;CM;DRIVE;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4L;PM;RECEPTION;;;;;;;;;
;;;4L;PM;CROSS;INTERCEPTION;39'59'';;;;;;;
;;;;;;;;;;;;;;
55'22'';41'00'';INTERCEPTION;1L;F;PASS;;;;;;;;;
;;;1L;CM;PASS;;;;;;;;;
;;;2L;CM;RECEPTION;;;;;;;;;
;;;2L;CM;DRIVE;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;DRIVE;;;;;;;;;
;;;4L;PM;DRIVE;;;;;;;;;
;;;4L;CM;SHOT ATTEMPT;GOALPOST;41'28'';;;;;;;
;;;;;;;;;;;;;;
