CHI X URU;Game Time;Start Task;ESC;SDO;Progression Task;End Task;End Time;Advantage Situation;OPP Defensive Formation;;;;;
;;;;;;;;OPP EXPULSION 62'07'';00'00'' FORMATION 4-4-2;;;;;
FIRST PERIOD;;;;;;;;GOAL 80'37'';64'36'' FORMATION 4-4-1;;;;;
20'52'';06'31'';RECOVERY;2C;CM;PASS;;;;;;;;;
;;;2L;F;RECEPTION;;;;;;;;;
;;;2L;F;PASS;;;;;;;;;
;;;1C;F;RECEPTION;;;;;;;;;
;;;1C;F;PASS;;;;;;;;;
;;;1C;CM;RECEPTION;;;;;;;;;
;;;1C;CM;PASS;;;;;;;;;
;;;1C;CM;RECEPTION;;;;;;;;;
;;;1C;CM;PASS;;;;;;;;;
;;;1L;F;RECEPTION;;;;;;;;;
;;;1L;F;PASS;;;;;;;;;
;;;3L;CM;RECEPTION;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3L;CM;PASS;;;;;;;;;
;;;3C;CM;RECEPTION;;;;;;;;;
;;;3C;CM;PASS;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;DRIVE;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4C;CM;SHOT ATTEMPT;GK KICK;07'04'';;;;;;;
;;;;;;;;;;;;;;
24'58'';10'37'';RECOVERY;2L;CM;PASS;;;;;;;;;
;;;2C;CM;RECEPTION;;;;;;;;;
;;;2C;CM;PASS;;;;;;;;;
;;;3C;CD;RECEPTION;;;;;;;;;
;;;3C;CD;DRIVE;;;;;;;;;
;;;3C;PD;DRIVE;;;;;;;;;
;;;3R;PD;DRIVE;;;;;;;;;
;;;4R;PD;PASS;INCOMPLETE INTERCEPTION;10'46'';;;;;;;
;;;;;;;;;;;;;;
27'08'';12'47'';RECOVERY;3L;CM;PASS;;;;;;;;;
;;;3R;PM;RECEPTION;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;4R;CD;RECEPTION;;;;;;;;;
;;;4R;CD;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;PASS;;;;;;;;;
;;;4R;PB;CROSS;INCOMPLETE INTERCEPTION;13'00'';;;;;;;
;;;;;;;;;;;;;;
27'23'';13'02'';RECOVERY;4L;PM;PASS;;;;;;;;;
;;;4C;CM;PASS;;;;;;;;;
;;;4L;PD;CROSS;INCOMPLETE INTERCEPTION;13'07'';;;;;;;
;;;;;;;;;;;;;;
27'36'';13'16'';FREETHROW;4L;PM;PASS;;;;;;;;;
;;;4L;PM;RECEPTION;;;;;;;;;
;;;4L;PM;PASS;;;;;;;;;
;;;4C;CM;RECEPTION;;;;;;;;;
;;;4C;CM;PASS;;;;;;;;;
;;;4R;PM;RECEPTION;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;3R;F;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;4C;CM;RECEPTION;;;;;;;;;
;;;4C;CM;PASS;;;;;;;;;
;;;4L;PD;RECEPTION;;;;;;;;;
;;;4L;PD;DRIVE;;;;;;;;;
;;;4L;CD;SHOT ATTEMPT;GK SAVE;13'38'';;;;;;;
;;;;;;;;;;;;;;
38'57'';24'37'';RECOVERY;2R;F;PASS;;;;;;;;;
;;;2R;PM;RECEPTION;;;;;;;;;
;;;2R;PM;DRIVE;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;2C;F;RECEPTION;;;;;;;;;
;;;2C;F;DRIVE;;;;;;;;;
;;;3R;F;PASS;;;;;;;;;
;;;3R;CM;RECEPTION;;;;;;;;;
;;;3R;CM;PASS;;;;;;;;;
;;;4R;CM;RECEPTION;;;;;;;;;
;;;4R;CM;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;;;;;;;;;
;;;4R;PD;DRIVE;;;;;;;;;
;;;4R;PM;PASS;;;;;;;;;
;;;4R;CM;PASS;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;3C;F;RECEPTION;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;3L;F;RECEPTION;;;;;;;;;
;;;3L;F;PASS;;;;;;;;;
;;;3L;PM;PASS;;;;;;;;;
;;;4L;CD;RECEPTION;;;;;;;;;
;;;4L;CD;PASS;;;;;;;;;
;;;4L;CD;RECEPTION;;;;;;;;;
;;;4L;CD;PASS;;;;;;;;;
;;;4C;CD;RECEPTION;;;;;;;;;
;;;4C;CD;SHOT ATTEMPT;GK SAVE;25'16'';;;;;;;
;;;;;;;;;;;;;;
40'07'';25'46'';RECOVERY;2R;F;DRIVE;;;;;;;;;
;;;3R;PM;PASS;;;;;;;;;
;;;4L;CD;PASS;;;;;;;;;
;;;4L;CD;CROSS;INCOMPLETE INTERCEPTION;25'57'';;;;;;;
;;;;;;;;;;;;;;
44'25'';30'04'';FALL;4R;PM;PASS;;;;;;;;;
;;;3C;F;RECEPTION;;;;;;;;;
;;;3C;F;PASS;;;;;;;;;
;;;3R;F;PASS;;;;;;;;;
;;;4R;CM;RECEPTION;;;;;;;;;
;;;4R;CM;PASS;;;;;;;;;
;;;4R;PD;RECEPTION;FALL;30'20'';;;;;;;
;;;;;;;;;;;;;;
